,text,title,intersection,lat,lng
245,SHOOTING:\nToronto - West End\n- A man has shown up at hospital\n- Suffering gunshot wounds\n- Injuries serious but not life threatening\n- Unknown where it occurred\n- Investigating\n#GO2489467\n^dh,SHOOTING,Toronto - West End,43.66944589999999,-79.46914749999999
257,"COLLISION:\nLower Jarvis St & Lake shore Blvd E\n- reports of 3 vehicles involved\n- officers o/s\n- 1 vehicle has flipped over\n- reports of children in the vehicles\n- unknown injuries\n- @TorontoMedics assisting\n- expect delays, consider alternate routes\n- will update\n#GO2484268\n^al",COLLISION,Lower Jarvis St & Lake shore Blvd E,43.64658669999999,-79.37025469999999
259,COLLISION:\nIslington Ave & Bloor St W\n- reports of 2 vehicles involved\n- just south of the intersection\n- unknown injuries\n- possible delays in the area\n- consider alternate routes\n#GO2483755\n^al,COLLISION,Islington Ave & Bloor St W,43.72666329999999,-79.5606019
260,HAZARD:\nVictoria Park Subway\n- reports of a male walking on the tracks\n- officers o/s \n- TTC aware TTCnotices \n- possible delays on transit line\n#GO2483337\n^al,HAZARD,Victoria Park Subway,43.7727093,-79.32071049999999
262,"COLLISION:\nMarkham Rd & Eglinton Ave E\n- female pedestrian struck\n- officers o/s\n- injuries appear to be serious, possible head injuries\n- vehicle fled the scene \n- @Torontomedics o/s assisting\n- traffic backed up \n- expect delays\n- will update\n#GO2478881\n^al",COLLISION,Markham Rd & Eglinton Ave E,43.8207722,-79.24631889999999
263,"SHOOTING:\nJane St & Firgrove Cres\n- reports of a man shot\n- officers o/s\n- located man with gun shot wounds \n- injuries are serious, being taken to hospital via emergency run by @TorontoMedics\n- shell casings located\n- will update\n#GO2477796\n^al",SHOOTING,Jane St & Firgrove Cres,43.5219748,-80.6549742
273,COLLISION:\nDufferin St & Croatia St\n-2 vehicles involved\n- injuries unknown\n- possible delays in area\n- consider alternate routes\n#GO2472951\n^al,COLLISION,Dufferin St & Croatia St,43.837853,-79.4819486
274,COLLISION:\nMorningside Ave & Ellesmere Rd\n- reports of 2 to 3 vehicles involved\n- reports of a vehicle into a ditch\n- officers dispatched & en route\n- no reports of serious injuries\n- possible delays in area\n- consider alternate routes\n#GO2472289\n^al,COLLISION,Morningside Ave & Ellesmere Rd,43.79283709999999,-79.19593499999999
282,COLLISION:\nSt Clair Av + Atlas Av\n- 2 pedestrians struck\n- Man and woman injured\n- Driver remain o/s\n- Injuries unknown\n#GO2465963\n^dh,COLLISION,St Clair Av + Atlas Av,43.6807093,-79.4307402
283,COLLISION:\nMarkham Rd + Progress Av\n- Car flipped\n- Passengers thrown from car\n- Lying on roadway\n- Both have serious injuries\n- Police o/s\n- EMS rushed\n- Officers will assist with emergency run\n- Roads will be closed\n#GO2465949\n^dh,COLLISION,Markham Rd + Progress Av,43.781712,-79.23392020000001
284,ASSAULT:\nHarbord St + Brunswick Av\n**2:42 pm**\n- Officers have located a woman with serious injuries\n- Taken to hospital via emergency run\n- She has succumbed to her injuries in hospital\n- Her death is being treated as suspicious\n- 1 man in custody\n- Investigating\n#GO2464487\n^dh,ASSAULT,Harbord St + Brunswick Av,43.662264,-79.405996
309,COLLISSION:\nVictory Drive & Keele Street\n- Pedestrian Struck\n- No one pinned\n- Pedestrian unresponsive\n- Ambulance o/s\n- road closure,COLLISSION,Victory Drive & Keele Street,43.72739989999999,-79.4877113
317,FIRE:\n-Yucatan Rd & Hare Gt.\n-Working fire in semi-detached home\n-No injuries\n-There may be roads/lanes closed\nGO#2451958\n^ep2,FIRE,-Yucatan Rd & Hare Gt.,43.461165,-80.53833399999999
324,STABBING:\nBonis Av + Birchmount Rd\n- Man saying he's been stabbed\n- Serious bleeding\n- Man has now passed out\n- Officers en route\n- EMS/Police o/s\n- Injuries are serious\n- Being transported to hospital\n#GO2445475\n^dh,STABBING,Bonis Av + Birchmount Rd,43.78359399999999,-79.2993322
332,SHOOTING:\n- Scarborough Golf Club Rd and Newark\n- Car crashed into a pole\n- Man slumped over the wheel and is unresponsive\n- Officers O/S \n- Driver suffering from gunshot wound \n- injuries are very serious\n- EMS crews trying to save his life \nGO# 2439136\n^ep2,SHOOTING,- Scarborough Golf Club Rd and Newark,43.7756926,-79.2210486
333,STABBING:\n Bloor Subway Station\n- Near Southbound Platform\n- Male tried to stab somebody in the washroom\n- Officers are on scene\n- Trains are by passing Bloor Station\n- Suspect may be on e/b line\n- Trains holding at Chester\n@TTCNotices\nGO#2438883 \n^ep2,STABBING, Bloor Subway Station,43.6706216,-79.3865296
336,FIRE:\nSheppard Av + Bathurst St\n- Working fire in apartment\n- 2nd alarm\n- Fire Crews o/s\n- Unknown if anyone inside\n- There may be roads/lanes closed\n#GO2437883\n^dh,FIRE,Sheppard Av + Bathurst St,43.7554798,-79.4385257
345,COLLISION:\nGardiner Exp + Spadina Av\n- 4 cars involved\n- Reports of woman injured\n- Unknown how serious\n- Will likely cause traffic backup\n#GO2431861\n^dh,COLLISION,Gardiner Exp + Spadina Av,43.63822319999999,-79.4488251
346,COLLISION:\nVictoria Park Av + Sweeney Dr\n- Car flipped over\n- Reports it hit a snow bank\n- Driver is out\n- No injuries reported\n- Traffic may be slow in area\n#GO2431800\n^dh,COLLISION,Victoria Park Av + Sweeney Dr,43.73680510000001,-79.307634
355,COLLISION:\nShaughnessy Bl + Sheppard Av\n- 2 car crash\n- 1 person unconscious\n- Reports man in his 70's\n- Smoke coming from both cars\n- Unknown injuries\n- Traffic will be affected in area\n- Consider alternate routes\n#GO2424171\n^dh,COLLISION,Shaughnessy Bl + Sheppard Av,43.7738071,-79.35327749999999
356,COLLISION:\nOakwood Av + Clovelly Av\n- 2 pedestrians struck\n- Woman and child struck by car\n- Unknown injuries\n- Car has remained o/s\n- Oakwood closed in area\n#GO2423569\n^dh,COLLISION,Oakwood Av + Clovelly Av,43.6949906,-79.4418156
357,COLLISION:\nSpadina Av + Gardiner Exp\n- On ramp to w/b Gardiner Exp\n- 3 car crash\n- No injuries reported\n- Collision is blocking traffic\n- Traffic backed up in area\n- Consider alternate routes\n#GO2423495\n^dh,COLLISION,Spadina Av + Gardiner Exp,43.65275809999999,-79.39808699999999
358,COLLISION:\nDundas St + Royal York Rd \n- Car flipped over\n- Has rolled down a hill\n- Person trapped inside\n- Fire Crews en route\n- Expect a road closure\n#GO2423251\n^dh,COLLISION,Dundas St + Royal York Rd ,43.65770300000001,-79.515877
360,COLLISION:\nOakwood Av + Rosemount Av\n- Pedestrian struck\n- Child under 10 has serious injuries\n- Officers asking for EMS rush\n- Child will be taken to trauma centre\n- Expect a road closure\n#GO2422991\n^dh,COLLISION,Oakwood Av + Rosemount Av,43.67799340000001,-79.43523189999999
373,COLLISION:\nLawrence Av + Valparaiso Av\n**1:30 am**\n- Pedestrian struck\n- Man in his 50's or 60's\n- Very serious injuries\n- EMS transported to hospital\n- Man has succumbed to his injuries\n- Pronounced in hospital\n- Driver remained o/s\n- Extended road closure\n#GO2413050\n^dh,COLLISION,Lawrence Av + Valparaiso Av,43.7552911,-79.2467449
374,"STABBING:\nBathurst St + Richmond St\n**2:06 am**\n- Near nightclub\n- Man stabbed\n- Transported to hospital\n- Injuries not life threatening\n- Suspect is male, white, 25, slim, long hair, jogging suit\n#GO2413198\n^dh",STABBING,Bathurst St + Richmond St,43.6464714,-79.4037161
381,COLLISION:\nChurch St + Carlton St\n- Cyclist struck\n- Unknown injuries\n- Police o/s\n- s/b traffic shut down\n#GO2412479\n^dh,COLLISION,Church St + Carlton St,43.66187229999999,-79.37934729999999
383,HAZARD:\nGardiner Exp + Parliament St \n- e/b Gardiner\n- In the right lane\n- Large pot hole\n- Reports of 7 vehicles with flat tires\n- No injuries reported\n#GO2411742\n^dh,HAZARD,Gardiner Exp + Parliament St ,43.63822319999999,-79.4488251
387,COLLISION:\nKennedy Rd & Foxridge Dr\n- 2 vehicles involved\n- 1 car on fire\n- all occupants out\n- roads in area are closed\n- 2 injured parties taken to hospital\n-  no life threatening injuries\n#GO2409317\n^lb,COLLISION,Kennedy Rd & Foxridge Dr,43.44014430000001,-80.4809436
403,SHOOTING:\nYonge St + Wellesley St\n- Man suffering gunshots located\n- Unknown where the shooting occurred\n- Victims injuries are serious\n- Transported to hospital\n- Officers investigating\n- May be related to one of the 3 other calls for sound of gunshots\n#GO2398084\n^dh,SHOOTING,Yonge St + Wellesley St,43.66492899999999,-79.3845625
410,COLLISION:\nAsquith Av + Park Rd\n- Pedestrian struck\n- Male lying in middle of the road\n- Reports of people fighting \n- Police now pulling up\n#GO2396677\n^dh,COLLISION,Asquith Av + Park Rd,43.67180510000001,-79.3846172
411,COLLISION:\nKeele St + Dundas St\n- 3 car crash\n- No reports of serious injury\n- Traffic in area slow\n#GO2396623\n^dh,COLLISION,Keele St + Dundas St,43.66540979999999,-79.4645433
413,"COLLISION:\nDanforth Rd & Eglinton Ave E\n- TTC bus and school bus involved \n- children on the school bus\n- officers o/s investigating\n- reports of minor injuries\n- @TorontoMedics assisting, will be transporting patients to hospital for precautionary measures\n#GO2393273\n^al",COLLISION,Danforth Rd & Eglinton Ave E,43.68695169999999,-79.30734129999999
416,COLLISION:\nVictoria Park Ave & Eglinton Ave E\n- female adult pedestrian struck\n- officers o/s\n- pedestrian has severe head injuries\n- @TorontoMedics assisting w/ emergency run\n- ROAD CLOSURE: Above intersection FULLY closed \n- TTC advised @TTCnotices \n- will update\n#GO2389266\n^al,COLLISION,Victoria Park Ave & Eglinton Ave E,43.4383414,-80.5240657
417,COLLISION:\nWillowdale Ave & Cummer Ave\n- single vehicle into a light pole\n- unknown injuries\n- officers dispatched & en route\n- possible delays in area\n- consider alternate routes\n#GO2389097\n^al,COLLISION,Willowdale Ave & Cummer Ave,43.4783164,-80.51152259999999
418,FIRE:\nYonge St & Shuter St\n- vehicle on fire out front of the Eaton Centre\n- officers o/s investigating\n- @Toronto_Fire assisting\n- unknown injuries\n- ROAD CLOSURE: E/B & W/B Shuter St blocked from Victoria St to Yonge St\n- expect delays\n- consider alternate routes\n#GO2388814\n^al,FIRE,Yonge St & Shuter St,43.4532192,-80.4905658
